admission_number,first_name,last_name,email
50000,Ivan,Hassan,ivan.hassan50000@school.ac.ke
50001,Francis,Ndegwa,francis.ndegwa50001@college.ac.ke
50002,Janet,Juma,janet.juma50002@uni.ac.ke
50003,Faith,Hassan,faith.hassan50003@students.ac.ke
50004,Edwin,Kasyoka,edwin.kasyoka50004@uni.ac.ke
50005,Mary,Achieng,mary.achieng50005@college.ac.ke
50006,Irene,Mwangi,irene.mwangi50006@college.ac.ke
50007,Kenneth,Owino,kenneth.owino50007@students.ac.ke
50008,Ivan,Ibrahim,ivan.ibrahim50008@students.ac.ke
50009,Esther,Adhiambo,esther.adhiambo50009@college.ac.ke
50010,Robert,Koech,robert.koech50010@academy.ac.ke
50011,Douglas,Ahmed,douglas.ahmed50011@academy.ac.ke
50012,Gordon,Okello,gordon.okello50012@students.ac.ke
50013,Paul,Wanjiku,paul.wanjiku50013@uni.ac.ke
50014,Bernard,Gitau,bernard.gitau50014@school.ac.ke
50015,Francis,Ngetich,francis.ngetich50015@college.ac.ke
50016,Beatrice,Otieno,beatrice.otieno50016@academy.ac.ke
50017,George,Adhiambo,george.adhiambo50017@students.ac.ke
50018,Hope,Kimani,hope.kimani50018@school.ac.ke
50019,Eric,Nduku,eric.nduku50019@school.ac.ke
50020,Lydia,Farah,lydia.farah50020@school.ac.ke
50021,Naomi,Wairimu,naomi.wairimu50021@uni.ac.ke
50022,Dorothy,Maina,dorothy.maina50022@students.ac.ke
50023,George,Chebet,george.chebet50023@uni.ac.ke
50024,Frances,Mutisya,frances.mutisya50024@school.ac.ke
50025,Carol,Njuguna,carol.njuguna50025@students.ac.ke
50026,Jacob,Yusuf,jacob.yusuf50026@students.ac.ke
50027,Dennis,Mutua,dennis.mutua50027@school.ac.ke
50028,Brian,Gitau,brian.gitau50028@students.ac.ke
50029,Quentin,Koech,quentin.koech50029@college.ac.ke
50030,Diana,Musyoka,diana.musyoka50030@college.ac.ke
50031,Eleanor,Mwangi,eleanor.mwangi50031@uni.ac.ke
50032,John,Bett,john.bett50032@academy.ac.ke
50033,Noah,Ndegwa,noah.ndegwa50033@students.ac.ke
50034,Edwin,Ibrahim,edwin.ibrahim50034@uni.ac.ke
50035,Harriet,Owino,harriet.owino50035@academy.ac.ke
50036,Ivan,Omondi,ivan.omondi50036@students.ac.ke
50037,Edwin,Mwangi,edwin.mwangi50037@uni.ac.ke
50038,Simon,Otieno,simon.otieno50038@students.ac.ke
50039,Gordon,Ogolla,gordon.ogolla50039@students.ac.ke
50040,Edwin,Mutisya,edwin.mutisya50040@college.ac.ke
50041,George,Adhiambo,george.adhiambo50041@students.ac.ke
50042,Charles,Nzomo,charles.nzomo50042@academy.ac.ke
50043,Victor,Mwenda,victor.mwenda50043@college.ac.ke
50044,Dennis,Adhiambo,dennis.adhiambo50044@students.ac.ke
50045,Moses,Mumo,moses.mumo50045@college.ac.ke
50046,Grace,Ndegwa,grace.ndegwa50046@uni.ac.ke
50047,Ivan,Otieno,ivan.otieno50047@students.ac.ke
50048,Ruth,Kiprotich,ruth.kiprotich50048@uni.ac.ke
50049,Gloria,Gitau,gloria.gitau50049@school.ac.ke
50050,James,Farah,james.farah50050@uni.ac.ke
50051,Raymond,Njoki,raymond.njoki50051@academy.ac.ke
50052,Gloria,Ngetich,gloria.ngetich50052@students.ac.ke
50053,Oscar,Kariuki,oscar.kariuki50053@college.ac.ke
50054,Simon,Gitonga,simon.gitonga50054@uni.ac.ke
50055,Daniel,Omar,daniel.omar50055@students.ac.ke
50056,Robert,Awuor,robert.awuor50056@academy.ac.ke
50057,Harold,Mutai,harold.mutai50057@uni.ac.ke
50058,Julian,Odhiambo,julian.odhiambo50058@uni.ac.ke
50059,Beatrice,Omondi,beatrice.omondi50059@college.ac.ke
50060,Agnes,Kamau,agnes.kamau50060@students.ac.ke
50061,Naomi,Chebet,naomi.chebet50061@school.ac.ke
50062,Paul,Waweru,paul.waweru50062@academy.ac.ke
50063,Philip,Gathoni,philip.gathoni50063@school.ac.ke
50064,Raymond,Otieno,raymond.otieno50064@school.ac.ke
50065,Dorothy,Lagat,dorothy.lagat50065@uni.ac.ke
50066,Henry,Mbatha,henry.mbatha50066@school.ac.ke
50067,Joyce,Kamau,joyce.kamau50067@academy.ac.ke
50068,Joseph,Lagat,joseph.lagat50068@students.ac.ke
50069,Ruth,Ngetich,ruth.ngetich50069@students.ac.ke
50070,Edith,Maina,edith.maina50070@college.ac.ke
50071,Hannah,Kyalo,hannah.kyalo50071@college.ac.ke
50072,Paul,Gichuki,paul.gichuki50072@school.ac.ke
50073,Francis,Kariuki,francis.kariuki50073@school.ac.ke
50074,George,Musa,george.musa50074@uni.ac.ke
50075,Henry,Waweru,henry.waweru50075@academy.ac.ke
50076,Agnes,Kiprotich,agnes.kiprotich50076@students.ac.ke
50077,Faith,Okello,faith.okello50077@school.ac.ke
50078,Harriet,Farah,harriet.farah50078@students.ac.ke
50079,Edith,Otieno,edith.otieno50079@college.ac.ke
50080,Carol,Omondi,carol.omondi50080@college.ac.ke
50081,Edwin,Njoroge,edwin.njoroge50081@academy.ac.ke
50082,Isaac,Mutisya,isaac.mutisya50082@school.ac.ke
50083,Samuel,Odhiambo,samuel.odhiambo50083@uni.ac.ke
50084,Beatrice,Akumu,beatrice.akumu50084@uni.ac.ke
50085,Julian,Omar,julian.omar50085@college.ac.ke
50086,Noah,Njuguna,noah.njuguna50086@school.ac.ke
50087,Edith,Mutisya,edith.mutisya50087@school.ac.ke
50088,Lydia,Wairimu,lydia.wairimu50088@college.ac.ke
50089,Carol,Onyango,carol.onyango50089@college.ac.ke
50090,Grace,Omar,grace.omar50090@students.ac.ke
50091,Douglas,Kinyua,douglas.kinyua50091@academy.ac.ke
50092,Kevin,Yusuf,kevin.yusuf50092@students.ac.ke
50093,Henry,Gathoni,henry.gathoni50093@academy.ac.ke
50094,Jacob,Akumu,jacob.akumu50094@students.ac.ke
50095,Charles,Chebet,charles.chebet50095@school.ac.ke
50096,James,Ndegwa,james.ndegwa50096@uni.ac.ke
50097,Philip,Musa,philip.musa50097@students.ac.ke
50098,James,Abdi,james.abdi50098@students.ac.ke
50099,Robert,Akumu,robert.akumu50099@college.ac.ke
50100,George,Juma,george.juma50100@students.ac.ke
50101,Ruth,Mutai,ruth.mutai50101@school.ac.ke
50102,William,Maina,william.maina50102@college.ac.ke
50103,Florence,Chebet,florence.chebet50103@students.ac.ke
50104,Joy,Mbatha,joy.mbatha50104@college.ac.ke
50105,Henry,Juma,henry.juma50105@college.ac.ke
50106,Esther,Ibrahim,esther.ibrahim50106@college.ac.ke
50107,Adrian,Lagat,adrian.lagat50107@uni.ac.ke
50108,Mary,Achieng,mary.achieng50108@students.ac.ke
50109,Paul,Ndegwa,paul.ndegwa50109@academy.ac.ke
50110,Janet,Mumo,janet.mumo50110@academy.ac.ke
50111,Quentin,Awuor,quentin.awuor50111@academy.ac.ke
50112,Ivan,Gitau,ivan.gitau50112@academy.ac.ke
50113,Irene,Njoroge,irene.njoroge50113@uni.ac.ke
50114,Helen,Okello,helen.okello50114@students.ac.ke
50115,Faith,Okello,faith.okello50115@academy.ac.ke
50116,Gordon,Maina,gordon.maina50116@students.ac.ke
50117,Hope,Njuguna,hope.njuguna50117@students.ac.ke
50118,Oscar,Khalid,oscar.khalid50118@school.ac.ke
50119,James,Gitonga,james.gitonga50119@uni.ac.ke
50120,Ruth,Wanjiku,ruth.wanjiku50120@college.ac.ke
50121,Paul,Kyalo,paul.kyalo50121@academy.ac.ke
50122,Eric,Mutua,eric.mutua50122@school.ac.ke
50123,Helen,Kimani,helen.kimani50123@academy.ac.ke
50124,Michael,Waweru,michael.waweru50124@academy.ac.ke
50125,Victor,Kasyoka,victor.kasyoka50125@academy.ac.ke
50126,Ruth,Gitau,ruth.gitau50126@school.ac.ke
50127,Michael,Wairimu,michael.wairimu50127@academy.ac.ke
50128,Naomi,Kamau,naomi.kamau50128@uni.ac.ke
50129,Janet,Lagat,janet.lagat50129@college.ac.ke
50130,Philip,Mbatha,philip.mbatha50130@school.ac.ke
50131,Agnes,Onyango,agnes.onyango50131@college.ac.ke
50132,Harold,Khalid,harold.khalid50132@college.ac.ke
50133,Philip,Abdi,philip.abdi50133@school.ac.ke
50134,Jacob,Koech,jacob.koech50134@students.ac.ke
50135,Isaac,Kinyua,isaac.kinyua50135@school.ac.ke
50136,Florence,Mutua,florence.mutua50136@academy.ac.ke
50137,John,Njuguna,john.njuguna50137@college.ac.ke
50138,Thomas,Wanjiku,thomas.wanjiku50138@college.ac.ke
50139,Moses,Omar,moses.omar50139@school.ac.ke
50140,Peter,Mwenda,peter.mwenda50140@uni.ac.ke
50141,Thomas,Otieno,thomas.otieno50141@college.ac.ke
50142,Daniel,Mutisya,daniel.mutisya50142@college.ac.ke
50143,Ivan,Otieno,ivan.otieno50143@uni.ac.ke
50144,Robert,Nduku,robert.nduku50144@uni.ac.ke
50145,Agnes,Ogolla,agnes.ogolla50145@uni.ac.ke
50146,Robert,Gitau,robert.gitau50146@college.ac.ke
50147,Robert,Mumo,robert.mumo50147@uni.ac.ke
50148,Edwin,Kariuki,edwin.kariuki50148@college.ac.ke
50149,Irene,Bett,irene.bett50149@students.ac.ke
50150,Faith,Omondi,faith.omondi50150@academy.ac.ke
50151,Lewis,Gitau,lewis.gitau50151@students.ac.ke
50152,Robert,Adhiambo,robert.adhiambo50152@school.ac.ke
50153,Eleanor,Bett,eleanor.bett50153@college.ac.ke
50154,Thomas,Ogolla,thomas.ogolla50154@students.ac.ke
50155,Alice,Kiptoo,alice.kiptoo50155@academy.ac.ke
50156,Janet,Achieng,janet.achieng50156@school.ac.ke
50157,James,Gitau,james.gitau50157@students.ac.ke
50158,Alice,Adhiambo,alice.adhiambo50158@students.ac.ke
50159,Gladys,Lagat,gladys.lagat50159@academy.ac.ke
50160,Kenneth,Wanjiku,kenneth.wanjiku50160@school.ac.ke
50161,Janet,Gitonga,janet.gitonga50161@uni.ac.ke
50162,Raymond,Ahmed,raymond.ahmed50162@school.ac.ke
50163,Gloria,Otieno,gloria.otieno50163@students.ac.ke
50164,Edwin,Ochieng,edwin.ochieng50164@college.ac.ke
50165,John,Musyoka,john.musyoka50165@uni.ac.ke
50166,Charles,Ndegwa,charles.ndegwa50166@academy.ac.ke
50167,Jacob,Khalid,jacob.khalid50167@school.ac.ke
50168,Simon,Farah,simon.farah50168@academy.ac.ke
50169,Harriet,Kasyoka,harriet.kasyoka50169@college.ac.ke
