admission_number,first_name,last_name,email
120000,Jennifer,Bishop,jennifer.bishop120000@students.ac.ke
120001,Michelle,Pierce,michelle.pierce120001@students.ac.ke
120002,Richard,Ortiz,richard.ortiz120002@uni.ac.ke
120003,Alice,Kennedy,alice.kennedy120003@school.ac.ke
120004,Ruth,Baker,ruth.baker120004@uni.ac.ke
120005,Raymond,Freeman,raymond.freeman120005@students.ac.ke
120006,Simon,Fisher,simon.fisher120006@students.ac.ke
120007,Thomas,Peterson,thomas.peterson120007@school.ac.ke
120008,Hannah,Wright,hannah.wright120008@academy.ac.ke
120009,Stephanie,Owen,stephanie.owen120009@school.ac.ke
120010,Alexander,Ogolla,alexander.ogolla120010@academy.ac.ke
120011,Edwin,Hayes,edwin.hayes120011@students.ac.ke
120012,Thomas,Black,thomas.black120012@students.ac.ke
120013,Kenneth,Woods,kenneth.woods120013@uni.ac.ke
120014,Kimberly,Parker,kimberly.parker120014@college.ac.ke
120015,Janet,Peterson,janet.peterson120015@academy.ac.ke
120016,Karen,Pierce,karen.pierce120016@school.ac.ke
120017,Nancy,Maiyo,nancy.maiyo120017@college.ac.ke
120018,Ronald,Rivera,ronald.rivera120018@college.ac.ke
120019,Amy,Otieno,amy.otieno120019@college.ac.ke
120020,Sandra,Kennedy,sandra.kennedy120020@college.ac.ke
120021,Christine,Wright,christine.wright120021@uni.ac.ke
120022,Harriet,Santos,harriet.santos120022@academy.ac.ke
120023,Patricia,Webb,patricia.webb120023@students.ac.ke
120024,Julie,Burns,julie.burns120024@college.ac.ke
120025,Brandon,Perry,brandon.perry120025@academy.ac.ke
120026,Richard,Roberts,richard.roberts120026@academy.ac.ke
120027,Rebecca,White,rebecca.white120027@uni.ac.ke
120028,Steven,Ross,steven.ross120028@college.ac.ke
120029,Olivia,Thompson,olivia.thompson120029@students.ac.ke
120030,Jerry,Wambui,jerry.wambui120030@school.ac.ke
120031,Jerry,Carpenter,jerry.carpenter120031@academy.ac.ke
120032,Anthony,Olson,anthony.olson120032@school.ac.ke
120033,Larry,Woods,larry.woods120033@students.ac.ke
120034,John,Alexander,john.alexander120034@school.ac.ke
120035,Aaron,Henderson,aaron.henderson120035@students.ac.ke
120036,Hannah,Morgan,hannah.morgan120036@academy.ac.ke
120037,Gary,Morgan,gary.morgan120037@academy.ac.ke
120038,Kathleen,Allen,kathleen.allen120038@school.ac.ke
120039,Samuel,Kibet,samuel.kibet120039@school.ac.ke
120040,Julie,Fisher,julie.fisher120040@uni.ac.ke
120041,Edward,Daniel,edward.daniel120041@school.ac.ke
120042,Nathan,Russell,nathan.russell120042@uni.ac.ke
120043,James,Ramirez,james.ramirez120043@academy.ac.ke
120044,Rebecca,Hamilton,rebecca.hamilton120044@students.ac.ke
120045,Christine,Pierce,christine.pierce120045@academy.ac.ke
120046,Dennis,Gray,dennis.gray120046@school.ac.ke
120047,Simon,Mason,simon.mason120047@college.ac.ke
120048,Samuel,Dean,samuel.dean120048@academy.ac.ke
120049,Kathleen,Barnes,kathleen.barnes120049@college.ac.ke
120050,John,Long,john.long120050@students.ac.ke
120051,Carolyn,Davis,carolyn.davis120051@school.ac.ke
120052,Amanda,Sullivan,amanda.sullivan120052@college.ac.ke
120053,Richard,Freeman,richard.freeman120053@college.ac.ke
120054,Mark,Mwangi,mark.mwangi120054@uni.ac.ke
120055,Jacob,Owens,jacob.owens120055@college.ac.ke
120056,Edith,Torres,edith.torres120056@school.ac.ke
120057,Agnes,Carr,agnes.carr120057@college.ac.ke
120058,Brenda,Hoffman,brenda.hoffman120058@academy.ac.ke
120059,Thomas,Anderson,thomas.anderson120059@school.ac.ke
120060,Jerry,Chemutai,jerry.chemutai120060@uni.ac.ke
120061,William,Bennett,william.bennett120061@academy.ac.ke
120062,Lisa,Rodrigues,lisa.rodrigues120062@academy.ac.ke
120063,Julie,Sanders,julie.sanders120063@academy.ac.ke
120064,Kevin,Hill,kevin.hill120064@college.ac.ke
120065,Betty,Daniel,betty.daniel120065@academy.ac.ke
120066,Helen,Mills,helen.mills120066@uni.ac.ke
120067,Betty,Wood,betty.wood120067@college.ac.ke
120068,Michelle,Ng'eno,michelle.ng'eno120068@uni.ac.ke
120069,Paul,Cole,paul.cole120069@students.ac.ke
120070,Robert,Wood,robert.wood120070@college.ac.ke
120071,Katherine,Gray,katherine.gray120071@college.ac.ke
120072,Samuel,Tucker,samuel.tucker120072@students.ac.ke
120073,Melissa,Bell,melissa.bell120073@college.ac.ke
120074,James,Richardson,james.richardson120074@school.ac.ke
120075,Melissa,Torres,melissa.torres120075@uni.ac.ke
120076,George,Carpenter,george.carpenter120076@uni.ac.ke
120077,Christine,Powell,christine.powell120077@uni.ac.ke
120078,Justin,Gray,justin.gray120078@uni.ac.ke
120079,Michael,Reyes,michael.reyes120079@students.ac.ke
120080,Nicholas,Edwards,nicholas.edwards120080@uni.ac.ke
120081,Julie,Bryant,julie.bryant120081@school.ac.ke
120082,Heather,Mwangi,heather.mwangi120082@college.ac.ke
120083,Kimberly,Burke,kimberly.burke120083@school.ac.ke
120084,Ryan,Butler,ryan.butler120084@academy.ac.ke
120085,Ryan,Carter,ryan.carter120085@students.ac.ke
120086,Joshua,Reynolds,joshua.reynolds120086@students.ac.ke
120087,Jacob,McDonald,jacob.mcdonald120087@uni.ac.ke
120088,Nancy,Ochieng,nancy.ochieng120088@college.ac.ke
120089,Gloria,Carr,gloria.carr120089@students.ac.ke
120090,Simon,Russell,simon.russell120090@school.ac.ke
120091,Samuel,Wanjiru,samuel.wanjiru120091@school.ac.ke
120092,Jack,Ramsey,jack.ramsey120092@college.ac.ke
120093,Paul,Adams,paul.adams120093@college.ac.ke
120094,Benjamin,Bryant,benjamin.bryant120094@college.ac.ke
120095,Nicole,Burke,nicole.burke120095@college.ac.ke
120096,Laura,Gray,laura.gray120096@uni.ac.ke
120097,Joyce,Nunes,joyce.nunes120097@college.ac.ke
120098,Edith,Owen,edith.owen120098@academy.ac.ke
120099,Kathleen,Russell,kathleen.russell120099@college.ac.ke
120100,David,Ross,david.ross120100@school.ac.ke
120101,Patricia,Campbell,patricia.campbell120101@students.ac.ke
120102,Kenneth,Watson,kenneth.watson120102@school.ac.ke
120103,Ryan,Peterson,ryan.peterson120103@college.ac.ke
